ATTA Team Perf,ATTA Human Perf,ATTA Robot Perf,ATTA Team Total Reward,ATTA Perct Human Tasks,ATTA Perct Robot Tasks,Convergence lambda1 kH=0,Convergence lambda1 kH=5,Convergence lambda1 kH=10,Convergence lambda1 kH=20,Convergence lambda1 kH=40,Convergence lambda1 kH=80,Convergence lambda1 kH=end,Convergence lambda2 kH=0,Convergence lambda2 kH=5,Convergence lambda2 kH=10,Convergence lambda2 kH=20,Convergence lambda2 kH=40,Convergence lambda2 kH=80,Convergence lambda2 kH=end
79.80000000000001,93.27731092436974,75.59055118110236,47.8863804395508,23.799999999999997,76.2,1.0,0.6943595928839379,0.5534284310070595,0.17388218410389983,0.17204361974350957,0.03662598330598055,0.014003777044573118,1.0,0.35708032158422465,0.2730621176111716,0.1973484892839833,0.019903647316471318,0.019902925042948216,0.018530856682250185
71.39999999999999,97.6470588235294,66.02409638554217,32.96073766238359,17.0,83.0,1.0,0.5766491020287137,0.21564885152207786,0.15700299733097856,0.11631136577486278,0.11498459019988183,0.11498459019988183,1.0,0.4913471878805445,0.2999498900636506,0.1315079245848373,0.14084792578339866,0.1408548699448786,0.1408548699448786
79.60000000000001,93.27731092436974,75.32808398950131,45.07303706652857,23.799999999999997,76.2,1.0,0.5467298761437837,0.5453599111629881,0.3761687386452821,0.1948867142387672,0.06111669798244923,0.09090286806639924,1.0,0.38251421016297604,0.37717307393448385,0.0870005904699458,0.038560510202429565,0.03792540789187682,0.019910385817062948
78.2,94.52054794520548,71.46892655367232,45.32154770324264,29.2,70.8,1.0,0.5071833758664269,0.19928998474794568,0.19928998474794568,0.07919726018443163,0.07146675663282709,0.10000000000000009,1.0,0.5070553046065402,0.2201023846192366,0.2201023846192366,0.04519020625353043,0.032780298058837753,0.01921439139441916
76.4,95.41284403669725,71.0997442455243,41.50208021941476,21.8,78.2,1.0,0.7731054308814168,0.22734041683364759,0.09918782324382869,0.08211296144985436,0.06587129877733289,0.07016359987820808,1.0,0.46222164221553197,0.2360885342979001,0.09995620582039055,0.06677549639451952,0.09699794518942129,0.09805304091364009
75.6,97.05882352941177,70.10050251256281,39.26904182486795,20.4,79.60000000000001,1.0,0.7361037313032881,0.5461001757426153,0.0989119993702483,0.14016089273004384,0.14003716048506437,0.09989835199405978,1.0,0.4831662011187032,0.3537059988723996,0.1400733509372707,0.14018651774595403,0.14018876536807545,0.14240432521213808
76.6,92.98245614035088,71.76165803108809,40.53466735722178,22.8,77.2,1.0,0.4391886456821764,0.1799107673022744,0.09339629157676821,0.0600916109964067,0.0520228942404114,0.04598290314578768,1.0,0.3269357448067626,0.20545687461027373,0.10604069919385073,0.09714163694932965,0.09679599411132833,0.09730202727351
76.0,89.7196261682243,72.264631043257,40.332448957147875,21.4,78.60000000000001,1.0,0.5673545788208167,0.09807020745841699,0.15939922953138264,0.11746803341120887,0.10000000000000009,0.10000000000000009,1.0,0.25991394965028025,0.08060850192337277,0.056613836919061855,0.05993710953512721,0.059933725404985094,0.07981164566093857
79.80000000000001,96.11650485436894,75.56675062972292,45.41981633452992,20.599999999999998,79.4,1.0,0.6434933405915062,0.6367298640230391,0.11841598178889401,0.061259827375342135,0.061259827375342135,0.061259827375342135,1.0,0.3498675983380519,0.34677526878630427,0.14109225965710814,0.14028994317676713,0.14028994317676713,0.14028994317676713
76.6,94.82758620689656,71.09375,39.33708447383976,23.200000000000003,76.8,1.0,0.5402062260576718,0.27767224322798695,0.1306020531629185,0.13937979137875933,0.13576821239359926,0.10000001434963207,1.0,0.51961556466528,0.21984242998565384,0.12501917750574076,0.09376640878100906,0.06321075283349908,0.09649085874888852
