ATTA Team Perf,ATTA Human Perf,ATTA Robot Perf,ATTA Team Total Reward,ATTA Perct Human Tasks,ATTA Perct Robot Tasks,Tsarouchi Team Perf,Tsarouchi Human Perf,Tsarouchi Robot Perf,Tsarouchi Team Total Reward,Tsarouchi Perct Human Tasks,Tsarouchi Perct Robot Tasks
79.80000000000001,93.27731092436974,75.59055118110236,47.8863804395508,23.799999999999997,76.2,75.2,60.13513513513513,81.5340909090909,31.946142046402326,29.599999999999998,70.39999999999999
71.39999999999999,97.6470588235294,66.02409638554217,32.96073766238359,17.0,83.0,73.4,58.97435897435898,79.94186046511628,25.58570391322897,31.2,68.8
79.60000000000001,93.27731092436974,75.32808398950131,45.07303706652857,23.799999999999997,76.2,75.2,65.98639455782312,79.03682719546742,30.608980941081043,29.4,70.6
78.2,94.52054794520548,71.46892655367232,45.32154770324264,29.2,70.8,68.60000000000001,53.84615384615385,77.04402515723271,17.970327602649437,36.4,63.6
76.4,95.41284403669725,71.0997442455243,41.50208021941476,21.8,78.2,72.39999999999999,56.57894736842105,79.3103448275862,25.54006803992694,30.4,69.6
75.6,97.05882352941177,70.10050251256281,39.26904182486795,20.4,79.60000000000001,73.4,59.60264900662252,79.36962750716332,25.5639881821784,30.2,69.8
76.6,92.98245614035088,71.76165803108809,40.53466735722178,22.8,77.2,70.39999999999999,53.42465753424658,77.40112994350282,21.485519853976953,29.2,70.8
76.0,89.7196261682243,72.264631043257,40.332448957147875,21.4,78.60000000000001,71.2,52.85714285714286,78.33333333333333,23.68954004959809,28.000000000000004,72.0
79.80000000000001,96.11650485436894,75.56675062972292,45.41981633452992,20.599999999999998,79.4,76.6,59.183673469387756,83.85269121813032,30.795447087343646,29.4,70.6
76.6,94.82758620689656,71.09375,39.33708447383976,23.200000000000003,76.8,72.2,55.55555555555556,79.53890489913545,22.13255885481529,30.599999999999998,69.39999999999999
